# Delay [days]	Delay uncertainty [days]	zDCF 	zDCF uncertainty
-200.000000	5.000000	0.158398	0.012964
-190.000000	5.000000	0.274187	0.014602
-180.000000	5.000000	0.098408	0.014649
-170.000000	5.000000	0.031331	0.016096
-160.000000	5.000000	-0.005826	0.013817
-150.000000	5.000000	0.098489	0.009299
-140.000000	5.000000	0.132283	0.009243
-130.000000	5.000000	0.086765	0.011154
-120.000000	5.000000	-0.006239	0.008205
-110.000000	5.000000	0.060202	0.011578
-100.000000	5.000000	0.124931	0.009276
-90.000000	5.000000	0.058251	0.008629
-80.000000	5.000000	-0.033712	0.012964
-70.000000	5.000000	0.017848	0.013908
-60.000000	5.000000	0.013538	0.008710
-50.000000	5.000000	0.077406	0.010479
-40.000000	5.000000	0.073789	0.009766
-30.000000	5.000000	0.137046	0.008854
-20.000000	5.000000	0.062321	0.010093
-10.000000	5.000000	0.108802	0.011088
0.000000	5.000000	0.165595	0.010425
10.000000	5.000000	0.128511	0.008924
20.000000	5.000000	0.120348	0.012197
30.000000	5.000000	0.097855	0.008893
40.000000	5.000000	0.077366	0.012318
50.000000	5.000000	0.037939	0.010852
60.000000	5.000000	0.063833	0.011447
70.000000	5.000000	0.026710	0.009865
80.000000	5.000000	0.075675	0.011039
90.000000	5.000000	0.091918	0.014353
100.000000	5.000000	0.071662	0.013666
110.000000	5.000000	0.039339	0.010186
120.000000	5.000000	-0.036816	0.013487
130.000000	5.000000	-0.172329	0.014770
140.000000	5.000000	-0.139194	0.016342
150.000000	5.000000	-0.230020	0.013844
160.000000	5.000000	-0.163079	0.014833
170.000000	5.000000	-0.145735	0.011744
180.000000	5.000000	-0.104782	0.016605
190.000000	5.000000	-0.047243	0.017118
200.000000	5.000000	-0.049520	0.013394
