# Delay [days]	Delay uncertainty [days]	zDCF 	zDCF uncertainty
-200.000000	5.000000	-0.368243	0.006153
-190.000000	5.000000	-0.413621	0.006217
-180.000000	5.000000	-0.466344	0.006440
-170.000000	5.000000	-0.381652	0.007937
-160.000000	5.000000	-0.330473	0.007467
-150.000000	5.000000	-0.276847	0.007227
-140.000000	5.000000	-0.247208	0.008715
-130.000000	5.000000	-0.276884	0.009167
-120.000000	5.000000	-0.266397	0.007638
-110.000000	5.000000	-0.262287	0.006804
-100.000000	5.000000	-0.263166	0.006727
-90.000000	5.000000	-0.291204	0.007135
-80.000000	5.000000	-0.303641	0.004822
-70.000000	5.000000	-0.226464	0.006182
-60.000000	5.000000	-0.196098	0.007338
-50.000000	5.000000	-0.165892	0.006713
-40.000000	5.000000	-0.219801	0.008130
-30.000000	5.000000	-0.235146	0.012830
-20.000000	5.000000	-0.166222	0.010744
-10.000000	5.000000	-0.084209	0.008883
0.000000	5.000000	-0.107807	0.010058
10.000000	5.000000	-0.068898	0.010851
20.000000	5.000000	-0.091327	0.012753
30.000000	5.000000	-0.191542	0.008600
40.000000	5.000000	-0.214201	0.006478
50.000000	5.000000	-0.257101	0.010477
60.000000	5.000000	-0.268278	0.006079
70.000000	5.000000	-0.269746	0.009383
80.000000	5.000000	-0.339700	0.008722
90.000000	5.000000	-0.332192	0.007881
100.000000	5.000000	-0.370173	0.007767
110.000000	5.000000	-0.391460	0.005084
120.000000	5.000000	-0.421010	0.011104
130.000000	5.000000	-0.449540	0.009903
140.000000	5.000000	-0.405197	0.014121
150.000000	5.000000	-0.359510	0.011480
160.000000	5.000000	-0.383278	0.008909
170.000000	5.000000	-0.363397	0.009815
180.000000	5.000000	-0.352424	0.010719
190.000000	5.000000	-0.377827	0.009646
200.000000	5.000000	-0.367535	0.009075
