# Delay [days]	Delay uncertainty [days]	zDCF 	zDCF uncertainty
-200.000000	5.000000	0.011313	0.008024
-190.000000	5.000000	0.041005	0.004653
-180.000000	5.000000	0.048810	0.004915
-170.000000	5.000000	-0.028557	0.007282
-160.000000	5.000000	-0.084169	0.009160
-150.000000	5.000000	-0.027708	0.006658
-140.000000	5.000000	-0.007917	0.006567
-130.000000	5.000000	0.001934	0.006987
-120.000000	5.000000	0.076242	0.007832
-110.000000	5.000000	0.086198	0.007638
-100.000000	5.000000	0.046515	0.007754
-90.000000	5.000000	0.014342	0.007076
-80.000000	5.000000	-0.051205	0.005492
-70.000000	5.000000	-0.066073	0.006398
-60.000000	5.000000	-0.074860	0.006945
-50.000000	5.000000	-0.042835	0.007776
-40.000000	5.000000	-0.071593	0.005785
-30.000000	5.000000	-0.039143	0.009608
-20.000000	5.000000	-0.135699	0.008740
-10.000000	5.000000	-0.223840	0.010529
0.000000	5.000000	-0.174994	0.008758
10.000000	5.000000	-0.099103	0.009464
20.000000	5.000000	-0.142023	0.004674
30.000000	5.000000	-0.120203	0.005710
40.000000	5.000000	-0.034255	0.007765
50.000000	5.000000	0.007850	0.006749
60.000000	5.000000	-0.022167	0.006687
70.000000	5.000000	-0.150119	0.012058
80.000000	5.000000	-0.203482	0.009108
90.000000	5.000000	-0.124315	0.006844
100.000000	5.000000	-0.127143	0.006653
110.000000	5.000000	-0.182637	0.006298
120.000000	5.000000	-0.197319	0.007129
130.000000	5.000000	-0.162657	0.009091
140.000000	5.000000	-0.179600	0.008246
150.000000	5.000000	-0.289173	0.008358
160.000000	5.000000	-0.399092	0.010773
170.000000	5.000000	-0.399361	0.009066
180.000000	5.000000	-0.331660	0.012017
190.000000	5.000000	-0.218419	0.008405
200.000000	5.000000	-0.316771	0.013264
