# Delay [days]	Delay uncertainty [days]	zDCF 	zDCF uncertainty
-200.000000	5.000000	0.002086	0.009874
-190.000000	5.000000	0.039332	0.010104
-180.000000	5.000000	0.183497	0.010841
-170.000000	5.000000	0.338082	0.006695
-160.000000	5.000000	0.393113	0.010375
-150.000000	5.000000	0.465724	0.015166
-140.000000	5.000000	0.426815	0.011231
-130.000000	5.000000	0.462280	0.013119
-120.000000	5.000000	0.409942	0.010994
-110.000000	5.000000	0.299051	0.011696
-100.000000	5.000000	0.276205	0.010213
-90.000000	5.000000	0.331635	0.013447
-80.000000	5.000000	0.381582	0.013230
-70.000000	5.000000	0.309221	0.012249
-60.000000	5.000000	0.313517	0.012120
-50.000000	5.000000	0.306839	0.015874
-40.000000	5.000000	0.338898	0.011319
-30.000000	5.000000	0.360837	0.007471
-20.000000	5.000000	0.282891	0.012999
-10.000000	5.000000	0.231457	0.009620
0.000000	5.000000	0.245751	0.009156
10.000000	5.000000	0.213806	0.011408
20.000000	5.000000	0.253512	0.013240
30.000000	5.000000	0.483117	0.013940
40.000000	5.000000	0.664926	0.013289
50.000000	5.000000	0.658340	0.016273
60.000000	5.000000	0.630776	0.020468
70.000000	5.000000	0.555256	0.018318
80.000000	5.000000	0.588070	0.014204
90.000000	5.000000	0.608924	0.012004
100.000000	5.000000	0.396949	0.009147
110.000000	5.000000	0.303834	0.012393
120.000000	5.000000	0.397369	0.011008
130.000000	5.000000	0.469257	0.010926
140.000000	5.000000	0.476991	0.016221
150.000000	5.000000	0.371882	0.016255
160.000000	5.000000	0.459127	0.012392
170.000000	5.000000	0.617266	0.014431
180.000000	5.000000	0.611431	0.012275
190.000000	5.000000	0.420347	0.011194
200.000000	5.000000	0.244043	0.009364
