# Delay [days]	Delay uncertainty [days]	zDCF 	zDCF uncertainty
-200.000000	5.000000	-0.243054	0.014098
-190.000000	5.000000	-0.338897	0.012508
-180.000000	5.000000	-0.295379	0.012466
-170.000000	5.000000	-0.132768	0.014559
-160.000000	5.000000	-0.041351	0.016619
-150.000000	5.000000	-0.102004	0.011352
-140.000000	5.000000	-0.174121	0.011416
-130.000000	5.000000	-0.143888	0.012713
-120.000000	5.000000	-0.139859	0.011028
-110.000000	5.000000	-0.060049	0.012750
-100.000000	5.000000	0.004848	0.013098
-90.000000	5.000000	-0.032426	0.015432
-80.000000	5.000000	-0.175142	0.009764
-70.000000	5.000000	-0.198545	0.012958
-60.000000	5.000000	-0.082969	0.014850
-50.000000	5.000000	-0.004155	0.019581
-40.000000	5.000000	-0.062407	0.012037
-30.000000	5.000000	-0.037598	0.016265
-20.000000	5.000000	-0.037826	0.012212
-10.000000	5.000000	-0.070840	0.013219
0.000000	5.000000	0.064797	0.015875
10.000000	5.000000	0.326147	0.021758
20.000000	5.000000	0.182956	0.013708
30.000000	5.000000	0.125939	0.015047
40.000000	5.000000	0.129011	0.020295
50.000000	5.000000	0.016747	0.012103
60.000000	5.000000	0.030542	0.015332
70.000000	5.000000	0.093681	0.018555
80.000000	5.000000	0.020819	0.022667
90.000000	5.000000	-0.052511	0.015602
100.000000	5.000000	-0.035074	0.016328
110.000000	5.000000	-0.036353	0.015996
120.000000	5.000000	-0.027819	0.010233
130.000000	5.000000	0.056695	0.017206
140.000000	5.000000	-0.088371	0.015873
150.000000	5.000000	-0.189931	0.011417
160.000000	5.000000	-0.066033	0.008895
170.000000	5.000000	-0.008153	0.014449
180.000000	5.000000	0.051931	0.009907
190.000000	5.000000	0.112206	0.018472
200.000000	5.000000	0.146617	0.020583
