# Delay [days]	Delay uncertainty [days]	zDCF 	zDCF uncertainty
-200.000000	5.000000	-0.056584	0.012787
-190.000000	5.000000	-0.157076	0.009413
-180.000000	5.000000	-0.228028	0.008289
-170.000000	5.000000	-0.264204	0.008092
-160.000000	5.000000	-0.155003	0.008138
-150.000000	5.000000	-0.149815	0.007223
-140.000000	5.000000	-0.090307	0.008399
-130.000000	5.000000	-0.109857	0.006134
-120.000000	5.000000	-0.060575	0.007169
-110.000000	5.000000	-0.059190	0.007023
-100.000000	5.000000	-0.190797	0.008305
-90.000000	5.000000	-0.234145	0.007506
-80.000000	5.000000	-0.145777	0.007161
-70.000000	5.000000	-0.134538	0.008467
-60.000000	5.000000	-0.117264	0.009762
-50.000000	5.000000	-0.184685	0.011213
-40.000000	5.000000	-0.240681	0.010714
-30.000000	5.000000	-0.266165	0.012891
-20.000000	5.000000	-0.231786	0.008505
-10.000000	5.000000	-0.222168	0.006458
0.000000	5.000000	-0.202996	0.018078
10.000000	5.000000	-0.307735	0.013323
20.000000	5.000000	-0.213939	0.011014
30.000000	5.000000	-0.214131	0.013521
40.000000	5.000000	-0.277273	0.021010
50.000000	5.000000	-0.308072	0.015079
60.000000	5.000000	-0.326009	0.013393
70.000000	5.000000	-0.358868	0.008257
80.000000	5.000000	-0.247588	0.009278
90.000000	5.000000	-0.236995	0.007083
100.000000	5.000000	-0.312884	0.010412
110.000000	5.000000	-0.255942	0.011350
120.000000	5.000000	-0.159314	0.008214
130.000000	5.000000	-0.064975	0.006032
140.000000	5.000000	0.015445	0.009254
150.000000	5.000000	0.022433	0.013359
160.000000	5.000000	-0.022570	0.011388
170.000000	5.000000	0.005263	0.008213
180.000000	5.000000	0.056655	0.008705
190.000000	5.000000	0.081776	0.010554
200.000000	5.000000	0.015471	0.006786
