# Delay [days]	Delay uncertainty [days]	zDCF 	zDCF uncertainty
-200.000000	5.000000	0.692664	0.016590
-190.000000	5.000000	0.767454	0.020975
-180.000000	5.000000	0.741250	0.020384
-170.000000	5.000000	0.720155	0.013539
-160.000000	5.000000	0.812196	0.018932
-150.000000	5.000000	0.785173	0.021276
-140.000000	5.000000	0.725581	0.017811
-130.000000	5.000000	0.665483	0.014082
-120.000000	5.000000	0.738365	0.007699
-110.000000	5.000000	0.818060	0.018754
-100.000000	5.000000	0.794190	0.018604
-90.000000	5.000000	0.764375	0.015498
-80.000000	5.000000	0.719606	0.022780
-70.000000	5.000000	0.672478	0.013046
-60.000000	5.000000	0.644621	0.016534
-50.000000	5.000000	0.805182	0.019761
-40.000000	5.000000	0.808401	0.022002
-30.000000	5.000000	0.739972	0.014842
-20.000000	5.000000	0.764046	0.018669
-10.000000	5.000000	0.881241	0.019211
0.000000	5.000000	0.881775	0.028779
10.000000	5.000000	0.930821	0.019769
20.000000	5.000000	1.025131	0.043786
30.000000	5.000000	1.068501	0.035325
40.000000	5.000000	0.947370	0.024708
50.000000	5.000000	0.781647	0.021199
60.000000	5.000000	0.837474	0.016257
70.000000	5.000000	0.873829	0.017757
80.000000	5.000000	0.967719	0.022870
90.000000	5.000000	0.923834	0.022501
100.000000	5.000000	0.926673	0.020005
110.000000	5.000000	0.923410	0.018470
120.000000	5.000000	0.694263	0.015514
130.000000	5.000000	0.820677	0.014086
140.000000	5.000000	0.893011	0.019735
150.000000	5.000000	0.779581	0.026349
160.000000	5.000000	0.608711	0.014668
170.000000	5.000000	0.656249	0.014827
180.000000	5.000000	0.753768	0.016388
190.000000	5.000000	0.734212	0.015307
200.000000	5.000000	0.660536	0.017821
