# Delay [days]	Delay uncertainty [days]	zDCF 	zDCF uncertainty
-200.000000	5.000000	0.331140	0.011565
-190.000000	5.000000	0.244729	0.006720
-180.000000	5.000000	0.143877	0.012754
-170.000000	5.000000	0.155850	0.010923
-160.000000	5.000000	0.127743	0.006353
-150.000000	5.000000	0.085418	0.005735
-140.000000	5.000000	0.063363	0.004862
-130.000000	5.000000	-0.025368	0.004427
-120.000000	5.000000	-0.067899	0.003544
-110.000000	5.000000	-0.050973	0.003191
-100.000000	5.000000	0.030140	0.006371
-90.000000	5.000000	0.078352	0.006965
-80.000000	5.000000	-0.008626	0.010141
-70.000000	5.000000	-0.057614	0.008834
-60.000000	5.000000	0.007161	0.005944
-50.000000	5.000000	0.046169	0.005509
-40.000000	5.000000	0.069646	0.009695
-30.000000	5.000000	0.123312	0.008918
-20.000000	5.000000	0.147989	0.006960
-10.000000	5.000000	0.099627	0.009201
0.000000	5.000000	-0.056087	0.008878
10.000000	5.000000	0.054272	0.011603
20.000000	5.000000	0.222628	0.007318
30.000000	5.000000	0.241891	0.009742
40.000000	5.000000	0.148716	0.008296
50.000000	5.000000	0.140278	0.003793
60.000000	5.000000	0.039714	0.011669
70.000000	5.000000	-0.090445	0.011730
80.000000	5.000000	-0.138814	0.007210
90.000000	5.000000	-0.125290	0.008237
100.000000	5.000000	-0.157231	0.007303
110.000000	5.000000	-0.193362	0.007501
120.000000	5.000000	-0.210299	0.007394
130.000000	5.000000	-0.200217	0.007998
140.000000	5.000000	-0.209039	0.007128
150.000000	5.000000	-0.253965	0.007340
160.000000	5.000000	-0.228709	0.006270
170.000000	5.000000	-0.231970	0.008667
180.000000	5.000000	-0.227262	0.006325
190.000000	5.000000	-0.193188	0.005923
200.000000	5.000000	0.112656	0.008212
