# Delay [days]	Delay uncertainty [days]	zDCF 	zDCF uncertainty
-200.000000	5.000000	-0.131188	0.013157
-190.000000	5.000000	-0.134500	0.010991
-180.000000	5.000000	-0.143799	0.012940
-170.000000	5.000000	-0.061274	0.018437
-160.000000	5.000000	-0.052776	0.013074
-150.000000	5.000000	0.057038	0.013086
-140.000000	5.000000	0.071152	0.012223
-130.000000	5.000000	0.163748	0.010665
-120.000000	5.000000	0.262156	0.015828
-110.000000	5.000000	0.134844	0.012535
-100.000000	5.000000	0.138058	0.016899
-90.000000	5.000000	0.150553	0.014003
-80.000000	5.000000	0.300422	0.017788
-70.000000	5.000000	0.217006	0.017070
-60.000000	5.000000	0.253158	0.017896
-50.000000	5.000000	0.232636	0.013477
-40.000000	5.000000	0.257862	0.015097
-30.000000	5.000000	0.237525	0.015607
-20.000000	5.000000	0.254392	0.014308
-10.000000	5.000000	0.319884	0.011169
0.000000	5.000000	0.343872	0.014746
10.000000	5.000000	0.303164	0.014313
20.000000	5.000000	0.349575	0.015588
30.000000	5.000000	0.351538	0.021182
40.000000	5.000000	0.358320	0.012465
50.000000	5.000000	0.365425	0.011765
60.000000	5.000000	0.410409	0.015661
70.000000	5.000000	0.470126	0.017374
80.000000	5.000000	0.528091	0.015885
90.000000	5.000000	0.458775	0.013574
100.000000	5.000000	0.382651	0.017894
110.000000	5.000000	0.437074	0.016296
120.000000	5.000000	0.476130	0.010909
130.000000	5.000000	0.434573	0.016955
140.000000	5.000000	0.327894	0.016126
150.000000	5.000000	0.436665	0.015809
160.000000	5.000000	0.510343	0.022382
170.000000	5.000000	0.419465	0.018524
180.000000	5.000000	0.293186	0.018403
190.000000	5.000000	0.320488	0.014429
200.000000	5.000000	0.326636	0.020433
