# Delay [days]	Delay uncertainty [days]	zDCF 	zDCF uncertainty
-200.000000	5.000000	-0.058717	0.010161
-190.000000	5.000000	-0.055028	0.009945
-180.000000	5.000000	-0.014536	0.009051
-170.000000	5.000000	-0.029427	0.007664
-160.000000	5.000000	-0.131813	0.011370
-150.000000	5.000000	-0.160551	0.007917
-140.000000	5.000000	-0.168834	0.009269
-130.000000	5.000000	-0.207197	0.013059
-120.000000	5.000000	-0.202402	0.007328
-110.000000	5.000000	-0.170848	0.008170
-100.000000	5.000000	-0.034747	0.008894
-90.000000	5.000000	-0.005787	0.010754
-80.000000	5.000000	-0.012813	0.009588
-70.000000	5.000000	0.021521	0.009090
-60.000000	5.000000	-0.043246	0.009780
-50.000000	5.000000	0.011340	0.011570
-40.000000	5.000000	0.097773	0.013253
-30.000000	5.000000	0.199231	0.008199
-20.000000	5.000000	0.336429	0.010029
-10.000000	5.000000	0.366126	0.013359
0.000000	5.000000	0.412869	0.011872
10.000000	5.000000	0.245423	0.012055
20.000000	5.000000	0.167911	0.010772
30.000000	5.000000	0.201468	0.014210
40.000000	5.000000	0.158487	0.013686
50.000000	5.000000	0.094138	0.011489
60.000000	5.000000	0.184236	0.013838
70.000000	5.000000	0.104441	0.010799
80.000000	5.000000	0.016673	0.012436
90.000000	5.000000	0.017218	0.009898
100.000000	5.000000	0.105234	0.011646
110.000000	5.000000	-0.001565	0.010833
120.000000	5.000000	-0.046725	0.011484
130.000000	5.000000	-0.005986	0.015177
140.000000	5.000000	0.207414	0.015439
150.000000	5.000000	0.295207	0.017955
160.000000	5.000000	0.190184	0.015591
170.000000	5.000000	0.187283	0.014775
180.000000	5.000000	0.225132	0.016258
190.000000	5.000000	0.147837	0.016371
200.000000	5.000000	0.179836	0.016732
