# Delay [days]	Delay uncertainty [days]	zDCF 	zDCF uncertainty
-200.000000	5.000000	-0.210373	0.007029
-190.000000	5.000000	-0.164374	0.006075
-180.000000	5.000000	-0.135661	0.007844
-170.000000	5.000000	-0.076680	0.006420
-160.000000	5.000000	-0.102544	0.009411
-150.000000	5.000000	-0.092659	0.004737
-140.000000	5.000000	-0.075016	0.005742
-130.000000	5.000000	-0.069308	0.006848
-120.000000	5.000000	-0.044957	0.005185
-110.000000	5.000000	-0.096966	0.005138
-100.000000	5.000000	-0.117924	0.003861
-90.000000	5.000000	-0.099262	0.004719
-80.000000	5.000000	-0.176730	0.006095
-70.000000	5.000000	-0.115940	0.007261
-60.000000	5.000000	-0.206750	0.007070
-50.000000	5.000000	-0.187058	0.007603
-40.000000	5.000000	-0.187070	0.007540
-30.000000	5.000000	-0.154396	0.007458
-20.000000	5.000000	-0.068456	0.008285
-10.000000	5.000000	-0.041512	0.006714
0.000000	5.000000	-0.058343	0.008782
10.000000	5.000000	-0.032010	0.008223
20.000000	5.000000	-0.003071	0.011812
30.000000	5.000000	-0.001111	0.009374
40.000000	5.000000	0.039723	0.013143
50.000000	5.000000	0.062394	0.012709
60.000000	5.000000	0.058096	0.013953
70.000000	5.000000	0.048153	0.009557
80.000000	5.000000	0.048887	0.014036
90.000000	5.000000	0.012288	0.015412
100.000000	5.000000	0.124365	0.010685
110.000000	5.000000	0.073106	0.014760
120.000000	5.000000	0.228724	0.018752
130.000000	5.000000	0.172263	0.018867
140.000000	5.000000	0.109386	0.012659
150.000000	5.000000	0.236259	0.019235
160.000000	5.000000	0.104148	0.013496
170.000000	5.000000	0.085658	0.013504
180.000000	5.000000	0.029487	0.013665
190.000000	5.000000	0.030031	0.013240
200.000000	5.000000	0.011654	0.015012
