# Delay [days]	Delay uncertainty [days]	zDCF 	zDCF uncertainty
-200.000000	5.000000	-0.078512	0.008434
-190.000000	5.000000	-0.027085	0.006860
-180.000000	5.000000	-0.002888	0.007294
-170.000000	5.000000	-0.007938	0.007074
-160.000000	5.000000	0.029030	0.008667
-150.000000	5.000000	0.094844	0.007005
-140.000000	5.000000	0.003474	0.008353
-130.000000	5.000000	-0.068612	0.008004
-120.000000	5.000000	-0.044474	0.006837
-110.000000	5.000000	0.162264	0.010359
-100.000000	5.000000	0.044887	0.014031
-90.000000	5.000000	0.094400	0.012044
-80.000000	5.000000	0.161055	0.007394
-70.000000	5.000000	0.108798	0.008833
-60.000000	5.000000	-0.004140	0.010726
-50.000000	5.000000	-0.088448	0.010373
-40.000000	5.000000	-0.085728	0.011071
-30.000000	5.000000	-0.136932	0.015341
-20.000000	5.000000	-0.252624	0.009916
-10.000000	5.000000	-0.282328	0.015270
0.000000	5.000000	-0.138426	0.010942
10.000000	5.000000	-0.062860	0.010568
20.000000	5.000000	-0.064866	0.009135
30.000000	5.000000	-0.241883	0.009624
40.000000	5.000000	-0.215566	0.009531
50.000000	5.000000	-0.172593	0.011458
60.000000	5.000000	-0.189492	0.014504
70.000000	5.000000	-0.208071	0.010986
80.000000	5.000000	-0.135753	0.010405
90.000000	5.000000	-0.118540	0.006787
100.000000	5.000000	-0.092545	0.006567
110.000000	5.000000	-0.182917	0.007807
120.000000	5.000000	-0.188666	0.009002
130.000000	5.000000	-0.271457	0.008604
140.000000	5.000000	-0.306572	0.009677
150.000000	5.000000	-0.247293	0.007821
160.000000	5.000000	-0.250763	0.009129
170.000000	5.000000	-0.141916	0.018347
180.000000	5.000000	-0.290464	0.011383
190.000000	5.000000	-0.258871	0.010333
200.000000	5.000000	-0.240693	0.016413
