# Delay [days]	Delay uncertainty [days]	zDCF 	zDCF uncertainty
-200.000000	5.000000	-0.073627	0.008752
-190.000000	5.000000	-0.161504	0.007408
-180.000000	5.000000	-0.215284	0.005909
-170.000000	5.000000	-0.160734	0.007784
-160.000000	5.000000	-0.139149	0.008576
-150.000000	5.000000	-0.145204	0.009064
-140.000000	5.000000	-0.103811	0.008199
-130.000000	5.000000	-0.102534	0.007195
-120.000000	5.000000	-0.055745	0.008138
-110.000000	5.000000	-0.087422	0.006552
-100.000000	5.000000	-0.108193	0.006745
-90.000000	5.000000	-0.150301	0.011258
-80.000000	5.000000	-0.181542	0.008051
-70.000000	5.000000	-0.200943	0.009311
-60.000000	5.000000	-0.215572	0.011938
-50.000000	5.000000	-0.290553	0.007210
-40.000000	5.000000	-0.341432	0.007323
-30.000000	5.000000	-0.316873	0.008006
-20.000000	5.000000	-0.266006	0.009023
-10.000000	5.000000	-0.244297	0.008129
0.000000	5.000000	-0.242829	0.007941
10.000000	5.000000	-0.225680	0.008410
20.000000	5.000000	-0.237900	0.007129
30.000000	5.000000	-0.255311	0.006462
40.000000	5.000000	-0.228917	0.009100
50.000000	5.000000	-0.239137	0.006769
60.000000	5.000000	-0.194698	0.006660
70.000000	5.000000	-0.113509	0.008471
80.000000	5.000000	-0.046612	0.006259
90.000000	5.000000	-0.047832	0.008424
100.000000	5.000000	-0.065750	0.008709
110.000000	5.000000	-0.083103	0.006630
120.000000	5.000000	-0.166026	0.011089
130.000000	5.000000	-0.287445	0.012502
140.000000	5.000000	-0.270442	0.013999
150.000000	5.000000	-0.285165	0.013347
160.000000	5.000000	-0.271873	0.013666
170.000000	5.000000	-0.225034	0.012037
180.000000	5.000000	-0.232237	0.010223
190.000000	5.000000	-0.221376	0.013548
200.000000	5.000000	-0.218912	0.010677
