# Delay [days]	Delay uncertainty [days]	zDCF 	zDCF uncertainty
-200.000000	5.000000	0.115233	0.006023
-190.000000	5.000000	0.201575	0.008015
-180.000000	5.000000	0.260224	0.005539
-170.000000	5.000000	0.334390	0.012361
-160.000000	5.000000	0.405758	0.007727
-150.000000	5.000000	0.274132	0.009216
-140.000000	5.000000	0.192192	0.006266
-130.000000	5.000000	0.058721	0.009514
-120.000000	5.000000	0.123938	0.007279
-110.000000	5.000000	0.273660	0.009660
-100.000000	5.000000	0.242997	0.010634
-90.000000	5.000000	0.173167	0.008882
-80.000000	5.000000	0.110415	0.012921
-70.000000	5.000000	0.190471	0.010800
-60.000000	5.000000	0.182165	0.014992
-50.000000	5.000000	0.161851	0.011515
-40.000000	5.000000	0.176211	0.008783
-30.000000	5.000000	0.212979	0.008301
-20.000000	5.000000	0.272799	0.007028
-10.000000	5.000000	0.298496	0.013387
0.000000	5.000000	0.269962	0.014977
10.000000	5.000000	0.370266	0.012223
20.000000	5.000000	0.376273	0.011596
30.000000	5.000000	0.368948	0.008954
40.000000	5.000000	0.331876	0.013910
50.000000	5.000000	0.290701	0.008236
60.000000	5.000000	0.277785	0.013290
70.000000	5.000000	0.286863	0.013724
80.000000	5.000000	0.318235	0.014541
90.000000	5.000000	0.144414	0.012528
100.000000	5.000000	-0.028163	0.012028
110.000000	5.000000	-0.070889	0.014316
120.000000	5.000000	-0.091403	0.010605
130.000000	5.000000	-0.108574	0.011215
140.000000	5.000000	-0.159316	0.014893
150.000000	5.000000	-0.160464	0.013987
160.000000	5.000000	-0.130463	0.012570
170.000000	5.000000	-0.192149	0.010973
180.000000	5.000000	-0.188334	0.010034
190.000000	5.000000	-0.089451	0.009301
200.000000	5.000000	0.041037	0.007052
