# Delay [days]	Delay uncertainty [days]	zDCF 	zDCF uncertainty
-200.000000	5.000000	-0.011481	0.010136
-190.000000	5.000000	-0.029605	0.010473
-180.000000	5.000000	-0.146912	0.008710
-170.000000	5.000000	-0.222673	0.011221
-160.000000	5.000000	-0.193547	0.010500
-150.000000	5.000000	-0.162475	0.011168
-140.000000	5.000000	-0.018826	0.009047
-130.000000	5.000000	-0.014820	0.009617
-120.000000	5.000000	-0.068203	0.010259
-110.000000	5.000000	-0.035854	0.009371
-100.000000	5.000000	-0.057630	0.009718
-90.000000	5.000000	-0.108488	0.012365
-80.000000	5.000000	-0.188251	0.008683
-70.000000	5.000000	-0.155663	0.007372
-60.000000	5.000000	-0.088467	0.005929
-50.000000	5.000000	-0.115585	0.006747
-40.000000	5.000000	-0.064640	0.011406
-30.000000	5.000000	-0.056923	0.010636
-20.000000	5.000000	-0.039366	0.014939
-10.000000	5.000000	-0.150405	0.011740
0.000000	5.000000	-0.142884	0.011380
10.000000	5.000000	-0.090316	0.014915
20.000000	5.000000	0.004421	0.017330
30.000000	5.000000	-0.101943	0.014828
40.000000	5.000000	-0.134448	0.014622
50.000000	5.000000	-0.075109	0.012272
60.000000	5.000000	0.057101	0.016179
70.000000	5.000000	0.041887	0.015509
80.000000	5.000000	0.087170	0.013677
90.000000	5.000000	0.109049	0.013796
100.000000	5.000000	0.132892	0.010114
110.000000	5.000000	0.010726	0.006479
120.000000	5.000000	0.025125	0.007301
130.000000	5.000000	-0.059324	0.007883
140.000000	5.000000	-0.077563	0.008013
150.000000	5.000000	-0.030295	0.007207
160.000000	5.000000	-0.077298	0.009760
170.000000	5.000000	-0.020118	0.007568
180.000000	5.000000	0.024237	0.011737
190.000000	5.000000	-0.020536	0.011049
200.000000	5.000000	0.012768	0.006809
