# Delay [days]	Delay uncertainty [days]	zDCF 	zDCF uncertainty
-200.000000	5.000000	0.010878	0.010822
-190.000000	5.000000	0.030716	0.004030
-180.000000	5.000000	0.036690	0.005155
-170.000000	5.000000	0.029832	0.006556
-160.000000	5.000000	0.063723	0.003777
-150.000000	5.000000	-0.036368	0.009838
-140.000000	5.000000	-0.246134	0.009832
-130.000000	5.000000	-0.242611	0.008141
-120.000000	5.000000	-0.198030	0.007959
-110.000000	5.000000	-0.229407	0.010526
-100.000000	5.000000	-0.065853	0.006833
-90.000000	5.000000	-0.065593	0.006913
-80.000000	5.000000	-0.115571	0.005139
-70.000000	5.000000	-0.099165	0.007114
-60.000000	5.000000	-0.120442	0.006285
-50.000000	5.000000	-0.095276	0.005868
-40.000000	5.000000	-0.039045	0.005688
-30.000000	5.000000	-0.086965	0.004999
-20.000000	5.000000	-0.127185	0.003774
-10.000000	5.000000	-0.099434	0.003208
0.000000	5.000000	-0.040881	0.003843
10.000000	5.000000	0.037656	0.016805
20.000000	5.000000	0.020687	0.007289
30.000000	5.000000	0.053869	0.009140
40.000000	5.000000	0.005044	0.011397
50.000000	5.000000	0.216368	0.008481
60.000000	5.000000	0.236772	0.011313
70.000000	5.000000	0.081730	0.011575
80.000000	5.000000	0.122540	0.008666
90.000000	5.000000	0.053928	0.012939
100.000000	5.000000	0.021898	0.010021
110.000000	5.000000	-0.035791	0.011350
120.000000	5.000000	-0.090150	0.009106
130.000000	5.000000	0.021358	0.014936
140.000000	5.000000	-0.002058	0.008579
150.000000	5.000000	0.031151	0.010914
160.000000	5.000000	0.042763	0.016507
170.000000	5.000000	0.176483	0.006688
180.000000	5.000000	0.113724	0.009322
190.000000	5.000000	0.149479	0.006694
200.000000	5.000000	0.181888	0.006517
