# Delay [days]	Delay uncertainty [days]	zDCF 	zDCF uncertainty
-200.000000	5.000000	-0.211329	0.006930
-190.000000	5.000000	-0.157043	0.011922
-180.000000	5.000000	-0.074530	0.010393
-170.000000	5.000000	0.177682	0.014993
-160.000000	5.000000	0.003127	0.009969
-150.000000	5.000000	-0.117790	0.007359
-140.000000	5.000000	-0.051736	0.010676
-130.000000	5.000000	-0.109922	0.009616
-120.000000	5.000000	-0.177630	0.006521
-110.000000	5.000000	-0.219295	0.007105
-100.000000	5.000000	-0.229259	0.009593
-90.000000	5.000000	-0.279924	0.009024
-80.000000	5.000000	-0.248306	0.007665
-70.000000	5.000000	-0.178153	0.008522
-60.000000	5.000000	-0.147065	0.008195
-50.000000	5.000000	-0.127564	0.010918
-40.000000	5.000000	-0.163295	0.009445
-30.000000	5.000000	-0.096277	0.007077
-20.000000	5.000000	-0.095942	0.004761
-10.000000	5.000000	-0.085747	0.005845
0.000000	5.000000	-0.099176	0.005070
10.000000	5.000000	-0.084875	0.007804
20.000000	5.000000	-0.179039	0.006304
30.000000	5.000000	-0.200323	0.006795
40.000000	5.000000	-0.239994	0.009515
50.000000	5.000000	-0.294206	0.007755
60.000000	5.000000	-0.330033	0.009372
70.000000	5.000000	-0.300959	0.008220
80.000000	5.000000	-0.311715	0.006890
90.000000	5.000000	-0.257465	0.008371
100.000000	5.000000	-0.260408	0.007835
110.000000	5.000000	-0.179878	0.007348
120.000000	5.000000	-0.105149	0.007897
130.000000	5.000000	-0.085594	0.008592
140.000000	5.000000	-0.111682	0.010216
150.000000	5.000000	-0.044265	0.011377
160.000000	5.000000	0.045162	0.007572
170.000000	5.000000	-0.048040	0.010420
180.000000	5.000000	-0.042986	0.012309
190.000000	5.000000	0.023065	0.009429
200.000000	5.000000	0.162816	0.010040
