# Delay [days]	Delay uncertainty [days]	zDCF 	zDCF uncertainty
-200.000000	5.000000	-0.146475	0.006310
-190.000000	5.000000	-0.069074	0.007005
-180.000000	5.000000	0.052460	0.007002
-170.000000	5.000000	0.112949	0.005993
-160.000000	5.000000	0.075297	0.004296
-150.000000	5.000000	-0.057190	0.007811
-140.000000	5.000000	-0.110269	0.010119
-130.000000	5.000000	-0.012253	0.005710
-120.000000	5.000000	-0.045232	0.006481
-110.000000	5.000000	-0.126102	0.012376
-100.000000	5.000000	-0.166438	0.010949
-90.000000	5.000000	-0.383080	0.015612
-80.000000	5.000000	-0.464678	0.019670
-70.000000	5.000000	-0.305537	0.011593
-60.000000	5.000000	-0.343084	0.016861
-50.000000	5.000000	-0.281093	0.015504
-40.000000	5.000000	-0.248352	0.015698
-30.000000	5.000000	-0.248841	0.012031
-20.000000	5.000000	-0.294565	0.013935
-10.000000	5.000000	-0.342528	0.008716
0.000000	5.000000	-0.276696	0.014154
10.000000	5.000000	-0.124697	0.011898
20.000000	5.000000	-0.032753	0.014964
30.000000	5.000000	0.025344	0.013673
40.000000	5.000000	0.037200	0.016353
50.000000	5.000000	0.225442	0.010976
60.000000	5.000000	0.083221	0.010035
70.000000	5.000000	0.178564	0.010063
80.000000	5.000000	0.130483	0.009099
90.000000	5.000000	0.060867	0.008221
100.000000	5.000000	0.021161	0.014991
110.000000	5.000000	-0.050096	0.007919
120.000000	5.000000	-0.149419	0.009343
130.000000	5.000000	-0.066624	0.010443
140.000000	5.000000	0.025092	0.013489
150.000000	5.000000	-0.010495	0.009525
160.000000	5.000000	0.016986	0.009146
170.000000	5.000000	0.010075	0.011279
180.000000	5.000000	-0.021128	0.007928
190.000000	5.000000	0.040047	0.010776
200.000000	5.000000	0.079570	0.010727
