# Delay [days]	Delay uncertainty [days]	zDCF 	zDCF uncertainty
-200.000000	5.000000	-0.273180	0.009472
-190.000000	5.000000	-0.309424	0.008280
-180.000000	5.000000	-0.394604	0.007954
-170.000000	5.000000	-0.377735	0.012806
-160.000000	5.000000	-0.359775	0.006782
-150.000000	5.000000	-0.359042	0.006174
-140.000000	5.000000	-0.380781	0.008430
-130.000000	5.000000	-0.375577	0.007906
-120.000000	5.000000	-0.349624	0.009190
-110.000000	5.000000	-0.345141	0.009317
-100.000000	5.000000	-0.334230	0.010005
-90.000000	5.000000	-0.297914	0.008825
-80.000000	5.000000	-0.160294	0.011998
-70.000000	5.000000	-0.067064	0.013547
-60.000000	5.000000	-0.059174	0.008886
-50.000000	5.000000	0.000221	0.013320
-40.000000	5.000000	0.028398	0.011160
-30.000000	5.000000	0.166727	0.018055
-20.000000	5.000000	0.150522	0.016198
-10.000000	5.000000	-0.060743	0.013812
0.000000	5.000000	-0.168152	0.012832
10.000000	5.000000	-0.218751	0.010672
20.000000	5.000000	-0.178822	0.008547
30.000000	5.000000	-0.179125	0.013982
40.000000	5.000000	-0.221583	0.013514
50.000000	5.000000	-0.241173	0.011843
60.000000	5.000000	-0.181495	0.012193
70.000000	5.000000	-0.123592	0.010971
80.000000	5.000000	-0.032514	0.014647
90.000000	5.000000	0.100256	0.012794
100.000000	5.000000	0.167486	0.011830
110.000000	5.000000	0.177785	0.014488
120.000000	5.000000	0.098358	0.013551
130.000000	5.000000	0.053256	0.009356
140.000000	5.000000	0.083073	0.009324
150.000000	5.000000	0.117764	0.010291
160.000000	5.000000	0.278768	0.015800
170.000000	5.000000	0.303277	0.014775
180.000000	5.000000	0.234304	0.014927
190.000000	5.000000	0.200461	0.013483
200.000000	5.000000	0.111686	0.012246
